Rain songs,Songs about the rain,https://open.spotify.com/user/jeem8/playlist/41L74udeD0c4OUoTvJw27r
Snow songs,Songs about 'snow' (or at least mention 'snow'),https://open.spotify.com/user/jeem8/playlist/4rE9XrERcLIQbrtHMbvpkk
New Zealand Intro (◉ Easiest),Essential Kiwi bands that everyone should know,https://open.spotify.com/user/jeem8/playlist/1sY1SNC1eeRH1qZsp8XIZf
New Zealand Intro (▩ Intermediate),More good stuff,https://open.spotify.com/user/jeem8/playlist/0qqB6QBa2ClvA7opLC9BL4
New Zealand Intro (◈ Expert),On to the next level,https://open.spotify.com/user/jeem8/playlist/2ruHknVzXgrU4awDIYwpA0
Land of Lakes - MN (◉ Easiest),Something in the water?,https://open.spotify.com/user/jeem8/playlist/78Y2b43lYVbb3PF3vciQFb
Land of Lakes - MN (◈ Expert),Sorry mom - forgot to take out the thrash,https://open.spotify.com/user/jeem8/playlist/6C4VG4b0k2FKnPFWBFPscA
